"Name","Role","Method","Path","Status","Expected","Pass","Preview"
"Auth login admin","Anonymous","POST","/identity/api/auth/login","200","200","True","{""userId"":""6dfdb08b-1db0-40bc-8725-3cf14a0dfb17"",""email"":""admin@supplychain.local"",""role"":""Admin"",""accessToken"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiI2ZGZkYjA4Yi0xZGIwLTQwYmMtODcyNS0zY2YxNGEwZGZiMTciLCJlbWFpbC"
"Auth register dealer","Anonymous","POST","/identity/api/auth/register","201","201,409","True","{""userId"":""cecf8d12-83d6-413b-bf1d-eb5f349e8ddb"",""status"":""Pending"",""message"":""Registration submitted and pending admin approval.""}"
"Admin approve dealer","Admin","PUT","/identity/api/admin/dealers/cecf8d12-83d6-413b-bf1d-eb5f349e8ddb/approve","200","200,404","True","{""message"":""Dealer approved.""}"
"Auth login dealer","Anonymous","POST","/identity/api/auth/login","200","200,401","True","{""userId"":""cecf8d12-83d6-413b-bf1d-eb5f349e8ddb"",""email"":""dealer.20260411114415@supplychain.local"",""role"":""Dealer"",""accessToken"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJjZWNmOGQxMi04M2Q2LTQxM2ItYmYxZC1lYjVmMzQ5Z"
"Catalog list admin for seed","Admin","GET","/catalog/api/products?page=1&size=20","200","200","True","{""items"":[{""productId"":""87a6247b-9cb0-4b9c-a7df-9c8084c389d7"",""sku"":""DSP-112"",""name"":""24-inch Industrial HMI Display"",""categoryId"":""fb149ce3-5d6c-4734-910b-66edf4c19c22"",""unitPrice"":18499.00,""availableStock"":53,""isActive"
"Catalog detail admin for seed","Admin","GET","/catalog/api/products/87a6247b-9cb0-4b9c-a7df-9c8084c389d7","200","200,404","True","{""productId"":""87a6247b-9cb0-4b9c-a7df-9c8084c389d7"",""sku"":""DSP-112"",""name"":""24-inch Industrial HMI Display"",""description"":""High-brightness touch display for production line supervision and control dashboards."",""categoryI"
"Catalog restock warehouse","Warehouse","POST","/catalog/api/products/87a6247b-9cb0-4b9c-a7df-9c8084c389d7/restock","200","200,404","True","{""message"":""Product restocked.""}"
"Orders create dealer","Dealer","POST","/orders/api/orders","503","201,400,409","False",""
"Logistics create shipment","Logistics","POST","/logistics/api/logistics/shipments","201","201,400,404","True","{""shipmentId"":""495a2a47-5e8f-4b74-89fc-caf7a63d4b13"",""orderId"":""3b84eead-3547-4b0c-87fb-16810546901a"",""dealerId"":""cecf8d12-83d6-413b-bf1d-eb5f349e8ddb"",""shipmentNumber"":""SHP-2026-6C50BE1B"",""deliveryAddress"":""12 Demo Stre"
"Payments seed dealer account","Admin","POST","/payments/api/payment/dealers/cecf8d12-83d6-413b-bf1d-eb5f349e8ddb/account","200","200,404","True","{""accountId"":""72c1c141-61e3-4ebf-9f23-b5eb5555f411"",""dealerId"":""cecf8d12-83d6-413b-bf1d-eb5f349e8ddb"",""creditLimit"":500000.00,""currentOutstanding"":0.00,""availableCredit"":500000.00}"
"Payments generate invoice","Admin","POST","/payments/api/payment/invoices","503","201,400,404","False",""
"Notifications manual create","Admin","POST","/notifications/api/notifications/manual","201","201,400","True","{""notificationId"":""a364e5a1-fc0f-480e-a098-1d7a513f6068"",""recipientUserId"":""cecf8d12-83d6-413b-bf1d-eb5f349e8ddb"",""title"":""Mock Notice 20260411114415"",""body"":""Generated by endpoint matrix runner"",""sourceService"":""Notific"
"Auth forgot password","Anonymous","POST","/identity/api/auth/forgot-password","200","200","True","{""message"":""If the account exists, an OTP has been sent.""}"
"Auth reset password invalid otp","Anonymous","POST","/identity/api/auth/reset-password","400","400,401","True","{""message"":""OTP is invalid or expired.""}"
"Auth refresh no cookie","Anonymous","POST","/identity/api/auth/refresh","401","401","True","{""message"":""Refresh token cookie is missing.""}"
"Users profile admin","Admin","GET","/identity/api/users/profile","200","200","True","{""userId"":""6dfdb08b-1db0-40bc-8725-3cf14a0dfb17"",""fullName"":""Platform Admin"",""email"":""admin@supplychain.local"",""role"":""Admin"",""status"":""Active"",""creditLimit"":500000.00,""dealerBusinessName"":null,""dealerGstNumber"":null,""is"
"Users profile anonymous denied","Anonymous","GET","/identity/api/users/profile","401","401","True",""
"Admin dealers list admin","Admin","GET","/identity/api/admin/dealers?page=1&pageSize=20","200","200","True","{""items"":[{""userId"":""cecf8d12-83d6-413b-bf1d-eb5f349e8ddb"",""fullName"":""Mock Dealer"",""email"":""dealer.20260411114415@supplychain.local"",""businessName"":""Mock Dealer 20260411114415"",""gstNumber"":""29ABCDE4415F1Z5"",""status"":""Ac"
"Admin dealers list dealer denied","Dealer","GET","/identity/api/admin/dealers?page=1&pageSize=19&search=denied-check","403","403","True",""
"Admin dealer detail","Admin","GET","/identity/api/admin/dealers/cecf8d12-83d6-413b-bf1d-eb5f349e8ddb","200","200,404","True","{""userId"":""cecf8d12-83d6-413b-bf1d-eb5f349e8ddb"",""fullName"":""Mock Dealer"",""email"":""dealer.20260411114415@supplychain.local"",""phoneNumber"":""9000000001"",""status"":""Active"",""creditLimit"":500000.00,""rejectionReason"":null,""bus"
"Admin dealer credit limit","Admin","PUT","/identity/api/admin/dealers/cecf8d12-83d6-413b-bf1d-eb5f349e8ddb/credit-limit","200","200,404,502","True","{""succeeded"":true,""message"":""Credit limit updated successfully.""}"
"Catalog create product dealer denied","Dealer","POST","/catalog/api/products","403","403","True",""
"Catalog update product admin","Admin","PUT","/catalog/api/products/87a6247b-9cb0-4b9c-a7df-9c8084c389d7","200","200,404,500","True","{""productId"":""87a6247b-9cb0-4b9c-a7df-9c8084c389d7"",""sku"":""DSP-112"",""name"":""Mock Product Updated 20260411114415"",""description"":""Updated"",""categoryId"":""fb149ce3-5d6c-4734-910b-66edf4c19c22"",""unitPrice"":209.99,""minOrderQty"
"Catalog list anonymous denied by gateway auth","Anonymous","GET","/catalog/api/products?page=1&size=20","401","401","True",""
"Catalog detail anonymous denied by gateway auth","Anonymous","GET","/catalog/api/products/87a6247b-9cb0-4b9c-a7df-9c8084c389d7","401","401","True",""
"Catalog search anonymous denied by gateway auth","Anonymous","GET","/catalog/api/products/search?q=Mock","401","401","True",""
"Catalog stock warehouse","Warehouse","GET","/catalog/api/products/87a6247b-9cb0-4b9c-a7df-9c8084c389d7/stock","200","200,404","True","{""productId"":""87a6247b-9cb0-4b9c-a7df-9c8084c389d7"",""totalStock"":73,""reservedStock"":0,""availableStock"":73}"
"Inventory soft-lock dealer","Dealer","POST","/catalog/api/inventory/soft-lock","200","200,409,404","True","{""message"":""Stock soft-locked.""}"
"Inventory hard-deduct logistics","Logistics","POST","/catalog/api/inventory/hard-deduct","200","200,409,404","True","{""message"":""Stock hard-deducted.""}"
"Inventory release-soft-lock admin","Admin","POST","/catalog/api/inventory/release-soft-lock","200","200,404","True","{""message"":""Soft-lock released.""}"
"Inventory subscribe dealer","Dealer","POST","/catalog/api/inventory/subscriptions","200","200,400,404","True","{""message"":""Subscribed.""}"
"Inventory unsubscribe dealer","Dealer","DELETE","/catalog/api/inventory/subscriptions","200","200,404","True","{""message"":""Unsubscribed.""}"
"Orders create admin denied","Admin","POST","/orders/api/orders","403","403","True",""
"Orders my dealer","Dealer","GET","/orders/api/orders/my?page=1&pageSize=20","200","200","True","{""items"":[],""totalCount"":0,""page"":1,""pageSize"":20}"
"Orders detail dealer","Dealer","GET","/orders/api/orders/3b84eead-3547-4b0c-87fb-16810546901a","404","200,404","True","{""type"":""https://tools.ietf.org/html/rfc9110#section-15.5.5"",""title"":""Not Found"",""status"":404,""traceId"":""00-be21648c265c48f3076da2c518f64f29-cd55c0efd9b89242-00""}"
"Orders detail admin","Admin","GET","/orders/api/orders/3b84eead-3547-4b0c-87fb-16810546901a","404","200,404","True","{""type"":""https://tools.ietf.org/html/rfc9110#section-15.5.5"",""title"":""Not Found"",""status"":404,""traceId"":""00-ee4aa30832ff67f40d6640224350a625-c6a8eadc3c571ddc-00""}"
"Orders update status logistics (restricted target denied)","Logistics","PUT","/orders/api/orders/3b84eead-3547-4b0c-87fb-16810546901a/status","404","400,404","True","{""type"":""https://tools.ietf.org/html/rfc9110#section-15.5.5"",""title"":""Not Found"",""status"":404,""traceId"":""00-04eeaf39b377dcf4e951345ceb1863cd-a05ef79f5302e54d-00""}"
"Orders update status warehouse denied","Warehouse","PUT","/orders/api/orders/3b84eead-3547-4b0c-87fb-16810546901a/status","404","403","False","{""type"":""https://tools.ietf.org/html/rfc9110#section-15.5.5"",""title"":""Not Found"",""status"":404,""traceId"":""00-a99093aa60b0cfa13a57ce793a9ea683-9007e72e656f0485-00""}"
"Orders cancel dealer","Dealer","POST","/orders/api/orders/3b84eead-3547-4b0c-87fb-16810546901a/cancel","404","200,404,400","True","{""type"":""https://tools.ietf.org/html/rfc9110#section-15.5.5"",""title"":""Not Found"",""status"":404,""traceId"":""00-a56464178c651ee491b459d72e2c5c3c-5c122cc402f485ea-00""}"
