"Name","Role","Method","Path","Status","Expected","Pass","Preview"
"Auth login admin","Anonymous","POST","/identity/api/auth/login","200","200","True","{""userId"":""6dfdb08b-1db0-40bc-8725-3cf14a0dfb17"",""email"":""admin@supplychain.local"",""role"":""Admin"",""accessToken"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiI2ZGZkYjA4Yi0xZGIwLTQwYmMtODcyNS0zY2YxNGEwZGZiMTciLCJlbWFpbC"
"Auth register dealer","Anonymous","POST","/identity/api/auth/register","201","201,409","True","{""userId"":""b4acadb1-901d-45bd-acec-f789fbd7a708"",""status"":""Pending"",""message"":""Registration submitted and pending admin approval.""}"
"Admin approve dealer","Admin","PUT","/identity/api/admin/dealers/b4acadb1-901d-45bd-acec-f789fbd7a708/approve","200","200,404","True","{""message"":""Dealer approved.""}"
"Auth login dealer","Anonymous","POST","/identity/api/auth/login","200","200,401","True","{""userId"":""b4acadb1-901d-45bd-acec-f789fbd7a708"",""email"":""dealer.20260410194947@supplychain.local"",""role"":""Dealer"",""accessToken"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJiNGFjYWRiMS05MDFkLTQ1YmQtYWNlYy1mNzg5ZmJkN"
"Catalog list admin for seed","Admin","GET","/catalog/api/products?page=1&size=20","200","200","True","{""items"":[{""productId"":""8e28a1f3-e24e-434a-8ee6-103dd5d068b9"",""sku"":""GLV-003"",""name"":""Arc-Flash Insulated Safety Gloves"",""categoryId"":""2489997d-06dd-4fe1-ac2c-470672f9c8c4"",""unitPrice"":699.00,""availableStock"":1229,""isAct"
"Catalog detail admin for seed","Admin","GET","/catalog/api/products/8e28a1f3-e24e-434a-8ee6-103dd5d068b9","200","200,404","True","{""productId"":""8e28a1f3-e24e-434a-8ee6-103dd5d068b9"",""sku"":""GLV-003"",""name"":""Arc-Flash Insulated Safety Gloves"",""description"":""Class-rated arc-flash gloves engineered for electrical installation and field service safety."""
"Catalog restock warehouse","Warehouse","POST","/catalog/api/products/8e28a1f3-e24e-434a-8ee6-103dd5d068b9/restock","200","200,404","True","{""message"":""Product restocked.""}"
"Orders create dealer","Dealer","POST","/orders/api/orders","201","201,400,409","True","{""orderId"":""02a15660-bb45-4eb3-9cb2-37354368997f"",""orderNumber"":""ORD-2026-E823C66D"",""dealerId"":""b4acadb1-901d-45bd-acec-f789fbd7a708"",""status"":2,""creditHoldStatus"":2,""paymentMode"":0,""totalAmount"":1398.00,""placedAtUtc"":""2"
"Logistics create shipment","Logistics","POST","/logistics/api/logistics/shipments","201","201,400,404","True","{""shipmentId"":""e7325344-c1e5-44bf-87b0-f52bd8d0c762"",""orderId"":""02a15660-bb45-4eb3-9cb2-37354368997f"",""dealerId"":""b4acadb1-901d-45bd-acec-f789fbd7a708"",""shipmentNumber"":""SHP-2026-1368EF5F"",""deliveryAddress"":""12 Demo Stre"
"Payments seed dealer account","Admin","POST","/payments/api/payment/dealers/b4acadb1-901d-45bd-acec-f789fbd7a708/account","200","200,404","True","{""accountId"":""b82a1732-ba49-4353-92cb-de73251b7eb8"",""dealerId"":""b4acadb1-901d-45bd-acec-f789fbd7a708"",""creditLimit"":500000.00,""currentOutstanding"":0.00,""availableCredit"":500000.00}"
"Payments generate invoice","Admin","POST","/payments/api/payment/invoices","201","201,400,404","True","{""invoiceId"":""f8f276c8-5f41-47ff-bb15-83e799545304"",""invoiceNumber"":""INV-2026-787B9B49"",""orderId"":""02a15660-bb45-4eb3-9cb2-37354368997f"",""dealerId"":""b4acadb1-901d-45bd-acec-f789fbd7a708"",""idempotencyKey"":""0C91476B242570C"
"Notifications manual create","Admin","POST","/notifications/api/notifications/manual","201","201,400","True","{""notificationId"":""62cad59c-ec09-400b-8496-ba73b34b27a5"",""recipientUserId"":""b4acadb1-901d-45bd-acec-f789fbd7a708"",""title"":""Mock Notice 20260410194947"",""body"":""Generated by endpoint matrix runner"",""sourceService"":""Notific"
"Auth forgot password","Anonymous","POST","/identity/api/auth/forgot-password","200","200","True","{""message"":""If the account exists, an OTP has been sent.""}"
"Auth reset password invalid otp","Anonymous","POST","/identity/api/auth/reset-password","400","400,401","True","{""message"":""OTP is invalid or expired.""}"
"Auth refresh no cookie","Anonymous","POST","/identity/api/auth/refresh","401","401","True","{""message"":""Refresh token cookie is missing.""}"
"Users profile admin","Admin","GET","/identity/api/users/profile","200","200","True","{""userId"":""6dfdb08b-1db0-40bc-8725-3cf14a0dfb17"",""fullName"":""Platform Admin"",""email"":""admin@supplychain.local"",""role"":""Admin"",""status"":""Active"",""creditLimit"":500000.00,""dealerBusinessName"":null,""dealerGstNumber"":null,""is"
"Users profile anonymous denied","Anonymous","GET","/identity/api/users/profile","401","401","True",""
"Admin dealers list admin","Admin","GET","/identity/api/admin/dealers?page=1&pageSize=20","200","200","True","{""items"":[{""userId"":""b4acadb1-901d-45bd-acec-f789fbd7a708"",""fullName"":""Mock Dealer"",""email"":""dealer.20260410194947@supplychain.local"",""businessName"":""Mock Dealer 20260410194947"",""gstNumber"":""29ABCDE4947F1Z5"",""status"":""Ac"
"Admin dealers list dealer denied","Dealer","GET","/identity/api/admin/dealers?page=1&pageSize=19&search=denied-check","403","403","True",""
"Admin dealer detail","Admin","GET","/identity/api/admin/dealers/b4acadb1-901d-45bd-acec-f789fbd7a708","200","200,404","True","{""userId"":""b4acadb1-901d-45bd-acec-f789fbd7a708"",""fullName"":""Mock Dealer"",""email"":""dealer.20260410194947@supplychain.local"",""phoneNumber"":""9000000001"",""status"":""Active"",""creditLimit"":500000.00,""rejectionReason"":null,""bus"
"Admin dealer credit limit","Admin","PUT","/identity/api/admin/dealers/b4acadb1-901d-45bd-acec-f789fbd7a708/credit-limit","200","200,404,502","True","{""succeeded"":true,""message"":""Credit limit updated successfully.""}"
"Catalog create product dealer denied","Dealer","POST","/catalog/api/products","403","403","True",""
"Catalog update product admin","Admin","PUT","/catalog/api/products/8e28a1f3-e24e-434a-8ee6-103dd5d068b9","200","200,404,500","True","{""productId"":""8e28a1f3-e24e-434a-8ee6-103dd5d068b9"",""sku"":""GLV-003"",""name"":""Mock Product Updated 20260410194947"",""description"":""Updated"",""categoryId"":""2489997d-06dd-4fe1-ac2c-470672f9c8c4"",""unitPrice"":209.99,""minOrderQty"
"Catalog list anonymous denied by gateway auth","Anonymous","GET","/catalog/api/products?page=1&size=20","401","401","True",""
"Catalog detail anonymous denied by gateway auth","Anonymous","GET","/catalog/api/products/8e28a1f3-e24e-434a-8ee6-103dd5d068b9","401","401","True",""
"Catalog search anonymous denied by gateway auth","Anonymous","GET","/catalog/api/products/search?q=Mock","401","401","True",""
"Catalog stock warehouse","Warehouse","GET","/catalog/api/products/8e28a1f3-e24e-434a-8ee6-103dd5d068b9/stock","200","200,404","True","{""productId"":""8e28a1f3-e24e-434a-8ee6-103dd5d068b9"",""totalStock"":1249,""reservedStock"":0,""availableStock"":1249}"
"Inventory soft-lock dealer","Dealer","POST","/catalog/api/inventory/soft-lock","200","200,409,404","True","{""message"":""Stock soft-locked.""}"
"Inventory hard-deduct logistics","Logistics","POST","/catalog/api/inventory/hard-deduct","200","200,409,404","True","{""message"":""Stock hard-deducted.""}"
"Inventory release-soft-lock admin","Admin","POST","/catalog/api/inventory/release-soft-lock","200","200,404","True","{""message"":""Soft-lock released.""}"
"Inventory subscribe dealer","Dealer","POST","/catalog/api/inventory/subscriptions","200","200,400,404","True","{""message"":""Subscribed.""}"
"Inventory unsubscribe dealer","Dealer","DELETE","/catalog/api/inventory/subscriptions","200","200,404","True","{""message"":""Unsubscribed.""}"
"Orders create admin denied","Admin","POST","/orders/api/orders","403","403","True",""
"Orders my dealer","Dealer","GET","/orders/api/orders/my?page=1&pageSize=20","200","200","True","{""items"":[{""orderId"":""02a15660-bb45-4eb3-9cb2-37354368997f"",""orderNumber"":""ORD-2026-E823C66D"",""dealerId"":""b4acadb1-901d-45bd-acec-f789fbd7a708"",""status"":2,""totalAmount"":1398.00,""placedAtUtc"":""2026-04-10T14:19:49.0466844"""
"Orders detail dealer","Dealer","GET","/orders/api/orders/02a15660-bb45-4eb3-9cb2-37354368997f","200","200,404","True","{""orderId"":""02a15660-bb45-4eb3-9cb2-37354368997f"",""orderNumber"":""ORD-2026-E823C66D"",""dealerId"":""b4acadb1-901d-45bd-acec-f789fbd7a708"",""status"":2,""creditHoldStatus"":2,""paymentMode"":0,""totalAmount"":1398.00,""placedAtUtc"":""2"
"Orders detail admin","Admin","GET","/orders/api/orders/02a15660-bb45-4eb3-9cb2-37354368997f","200","200,404","True","{""orderId"":""02a15660-bb45-4eb3-9cb2-37354368997f"",""orderNumber"":""ORD-2026-E823C66D"",""dealerId"":""b4acadb1-901d-45bd-acec-f789fbd7a708"",""status"":2,""creditHoldStatus"":2,""paymentMode"":0,""totalAmount"":1398.00,""placedAtUtc"":""2"
"Orders update status logistics","Logistics","PUT","/orders/api/orders/02a15660-bb45-4eb3-9cb2-37354368997f/status","400","200,404,400","True","{""message"":""Cannot transition order from 'Processing' to 'Processing'.""}"
"Orders cancel dealer","Dealer","POST","/orders/api/orders/02a15660-bb45-4eb3-9cb2-37354368997f/cancel","200","200,404,400","True","{""message"":""Order cancelled.""}"
